qvalues
---------------
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.02256246418429172 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.018905633502473537 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.00382636001587949 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 1 0.021228890374767915 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.008010567755720292 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 1 0.00908932668429172 
State_key(percent_of_class=4, duration=6, percent_duration=0, bytes_client=1, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 1 0.0026936623697755915 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=3, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.0017846184192408336 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 1 0.010328563405903442 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.022040018991984028 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.02153166103743857 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=3, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 1 0.005375024669240835 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 1 0.009104899898577434 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 -0.005589552791721874 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 1 0.00037545168429172176 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 1 0.022008925710265748 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 1 0.00408849545904273 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 -0.00037545168429172176 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0 -0.002655451684291722 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0 -0.022242076684291723 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0 -0.02398295168429172 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 1 0.02202832668429172 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 1 0.001983752966343003 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 1 0.002593139856334734 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0 -0.010555486081838619 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.010677058483457038 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 -0.023127951684291718 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 -0.0005835016842917229 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 1 0.003471066335907502 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 -0.005385314554734942 
State_key(percent_of_class=3, duration=7, percent_duration=0, bytes_client=1, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 1 0.003976162369775592 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 1 0.0013113978880682764 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.007431948593632379 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0 -0.02091258561286315 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 1 0.008568084620799658 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0 0.0 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 0.0 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 0.0 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.0 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0 0.0 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 0.0 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 0.0 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 0.0 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.0 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 0 0.0 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 0.0 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 0.0 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=3, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0 0.0 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 1 0.0 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 1 0.0 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 0 0.0 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 0.0 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 -0.013890151515151512 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 0.0 
rewards
---------------
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) -0.023749962299254444 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.024942873589577027 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.008531045632587778 
State_key(percent_of_class=2, duration=7, percent_duration=0, bytes_client=3, bytes_server=6, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.02377816684470899 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.022509750728661296 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.0007434265849687299 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0.024683212299254447 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.0022381610172031623 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.004258962299254443 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.011160443036353603 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.006367818651235796 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.004285212299254445 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.003588161017203161 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.0068604622992544445 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0.02451907593561808 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0.02318878372782587 
State_key(percent_of_class=4, duration=4, percent_duration=0, bytes_client=3, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0.010398153475725033 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.0039459357424778884 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.004722750249918579 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.02428449801354016 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) -0.011080926584968728 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.020393183147850293 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.025095212299254443 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.0023806640697062167 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=3, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.024783959166422367 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.009686527234319377 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.0017535456325877786 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.007145212299254443 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) -0.009589909268951414 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=2, bytes_server=0, ppi_duration=3, ppi_percent_duration=0, centroid_size=2) -0.006719587299254444 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.024591623589577026 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.024210837299254443 
State_key(percent_of_class=4, duration=0, percent_duration=2, bytes_client=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.006355686686688411 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.005673087299254445 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=3, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.007967078135031568 
State_key(percent_of_class=4, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.004325329543831267 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) -0.005195212299254443 
State_key(percent_of_class=2, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.02197082813503157 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) -0.023108783727825873 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=3, ppi_percent_duration=0, centroid_size=1) -0.007582849661891805 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.005278087299254444 
State_key(percent_of_class=4, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.007827561686688411 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.02276260461527176 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.006197492519034662 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.004027747385136306 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 0.022346200394492543 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.00843217658496873 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0.009567712299254443 
State_key(percent_of_class=4, duration=6, percent_duration=0, bytes_client=1, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0.002835434073447991 
State_key(percent_of_class=4, duration=2, percent_duration=2, bytes_client=3, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.0018785457044640354 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 0.01087217200621415 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) -0.023200019991562137 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.022664906355198498 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=3, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0.005657920704464037 
State_key(percent_of_class=3, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0.0095841051563973 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.005883739780759868 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.00039521229925444396 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.023167290221332366 
