qvalues
---------------
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=1, ppi_duration=0) 0.07828850228163926 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=1, bytes_server=3, ppi_duration=0) -0.02172987791844567 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=0, bytes_server=1, ppi_duration=0) 0.0028672634257873916 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=4, bytes_client=2, bytes_server=0, ppi_duration=3) 0.013113700081101128 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=1, ppi_duration=1) -0.020702021827319853 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=7, bytes_client=1, bytes_server=1, ppi_duration=5) -0.008141854842508085 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=3, ppi_duration=1) 0.007807913660354646 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=6, bytes_client=2, bytes_server=1, ppi_duration=3) 0.01522309650239282 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=1, ppi_duration=0) -0.019160962250534853 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=1, ppi_duration=0) -0.0188156265308942 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=3, ppi_duration=0) -0.026540348073487617 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=4, ppi_duration=0) -0.011136402505899591 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=0, bytes_server=0, ppi_duration=1) 0.005072361895381147 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=3, bytes_client=2, bytes_server=1, ppi_duration=0) 0.006430371896859285 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=4, ppi_duration=1) -0.01226192268857683 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=1, ppi_duration=2) -0.005925164893788784 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=4, bytes_server=2, ppi_duration=1) 0.016279980385786715 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=1, ppi_duration=0) -0.022121222462874825 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=4, ppi_duration=0) -0.033172528647936884 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=1, ppi_duration=3) -0.01472145920572283 
