qvalues
---------------
State_key(percent_of_class=3, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.019425993572155895 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.0036601664305475033 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.004879289015415705 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.01938927241830974 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.019126662131042662 
State_key(percent_of_class=2, duration=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.003810290275452598 
State_key(percent_of_class=3, duration=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.0010268000680793284 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 1 0.018769870452750793 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 1 0.0070182152108113575 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 -0.007348110257101384 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 -0.019213609568169684 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 1 0.006569022418309742 
State_key(percent_of_class=3, duration=6, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0 0.0003194856462063875 
State_key(percent_of_class=3, duration=2, bytes_server=5, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 1 0.00016217862162840667 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 0 -0.017461759607750735 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0 -0.019290540275452597 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 1 0.006764014301426625 
State_key(percent_of_class=2, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 1 0.019196162299262125 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 1 0.0034206154567347903 
State_key(percent_of_class=3, duration=3, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0 -0.007752869442119266 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 -0.0047008237317838495 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 0.0018384775816902578 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 0 -0.009601349341386664 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 1 0.0022738980832033577 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 -0.0018384775816902578 
State_key(percent_of_class=3, duration=4, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 1 -0.0003038621970748729 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 1 0.019552242656404976 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 -0.021758060879848204 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 1 0.020177772418309745 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 -0.0005559775816902582 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 -0.0007783875951066256 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 -0.007733394075650049 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 -0.018217309174384796 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 1 0.0033333587686872283 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 -0.02115152241830974 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0 0.0016959775816902578 
State_key(percent_of_class=3, duration=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 1 0.0008777821234014562 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 0 -0.0032389146514126615 
State_key(percent_of_class=3, duration=7, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0 -0.0007759831037936129 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.005122064542851867 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 1 0.01896582388889798 
State_key(percent_of_class=3, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 0.0 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 1 0.0 
State_key(percent_of_class=3, duration=4, bytes_server=0, ppi_duration=3, ppi_percent_duration=0, centroid_size=2) 1 0.0 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.0 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=3, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0 0.0 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 1 0.0 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0 0.0 
State_key(percent_of_class=3, duration=6, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 1 0.0 
State_key(percent_of_class=3, duration=2, bytes_server=5, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0 0.0 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0 0.0 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 1 0.0 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 1 0.0 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0 0.0 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0 0.0 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.0 
State_key(percent_of_class=3, duration=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0 0.0 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) 1 0.0 
State_key(percent_of_class=2, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 1 0.009719387873034552 
rewards
---------------
State_key(percent_of_class=3, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.02044841428647989 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.02248952699380652 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.005902260440326043 
State_key(percent_of_class=2, duration=7, bytes_server=6, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.020566865703483938 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0.01877202001082091 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.0016427395596739546 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0.022239760440326044 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -7.523955967395426e-05 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.0015722604403260428 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.018941820400833375 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) -0.004790715997450079 
State_key(percent_of_class=2, duration=0, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) -0.0013826175831831867 
State_key(percent_of_class=2, duration=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0.005204987713053316 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) -0.02288612407668968 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) -0.01992499853556414 
State_key(percent_of_class=3, duration=4, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) -0.007385977545589202 
State_key(percent_of_class=2, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.002353533334098941 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) -0.0021418908091444524 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.022898490599056204 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) -0.01923093691091428 
State_key(percent_of_class=3, duration=1, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.02243343691091428 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) -0.02217744665117402 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0.0074313149275055295 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) -0.000735239559673956 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0.0059847604403260425 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) -0.006004760440326045 
State_key(percent_of_class=3, duration=4, bytes_server=0, ppi_duration=3, ppi_percent_duration=0, centroid_size=2) -0.004367377198567801 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.021514921730648628 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.021637528297468903 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.004045666738329117 
State_key(percent_of_class=2, duration=2, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.0066586105418374375 
State_key(percent_of_class=3, duration=4, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0.0023504747260403294 
State_key(percent_of_class=2, duration=3, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.01982952699380652 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) -0.020778331868897475 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=3, ppi_percent_duration=0, centroid_size=1) -0.005487487713053318 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0.003852806768997372 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0.004076347741913345 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.020133328558992275 
State_key(percent_of_class=2, duration=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.004010831868897472 
State_key(percent_of_class=3, duration=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) -0.001080842176925609 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 0.019757758371316624 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) 0.007387594958748797 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.0077348529022119835 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.020224852177020722 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0.0069147604403260446 
State_key(percent_of_class=3, duration=6, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) 0.00033630068021725003 
State_key(percent_of_class=3, duration=2, bytes_server=5, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0.00017071433855621754 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) -0.018380799587106037 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) -0.02030583186889747 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=2) 0.007120015054133289 
State_key(percent_of_class=2, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.020206486630802236 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=3) 0.003600647849194516 
State_key(percent_of_class=3, duration=3, bytes_server=4, ppi_duration=0, ppi_percent_duration=1, centroid_size=3) -0.008160915202230806 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) -0.004948235507140895 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=1, centroid_size=1) 0.0019352395596739557 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) -0.01010668351724912 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 0.002393576929687745 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.0019352395596739557 
State_key(percent_of_class=3, duration=4, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.0003198549442893399 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0.020581308059373662 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.022903221978787584 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 0.021239760440326046 
State_key(percent_of_class=2, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.000585239559673956 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.00047022167405553084 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.008167285422653658 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.019042320818544317 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.003508798703881293 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) -0.022264760440326044 
State_key(percent_of_class=3, duration=3, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=2) 0.0009239811825278487 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=2) -0.0034093838435922752 
State_key(percent_of_class=3, duration=7, bytes_server=1, ppi_duration=5, ppi_percent_duration=0, centroid_size=3) -0.0008168243197827505 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.005391646887212492 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=0, centroid_size=1) 0.0199640251462084 
State_key(percent_of_class=2, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=0, centroid_size=1) 0.010230934603194266 
